split,train_start,test_start,test_end,sharpe,sortino,calmar,max_drawdown,ann_return,ann_vol,win_rate,total_return,trade_count,sharpe_calm,sharpe_volatile,sharpe_crisis,router_w0,router_w1,router_w2,n_collapse_events,elapsed_s
1,2005-01-03,2008-01-03,2008-07-03,3.9881859314424988,7.147606285311182,21.3524370542497,-0.05423652637933041,1.1580820176910498,0.2903781411398142,0.5142857142857142,0.2382166844746889,37.0,0.554767604110209,8.301819512955754,-0.29493496189932744,0.3832953870296478,0.17966040968894958,0.4370442032814026,0,2611.1
2,2005-01-03,2008-07-03,2009-01-03,-1.4974762354587114,-2.101347178541708,-1.5549822083509193,-0.06390260864417864,-0.09936741966440765,0.06635659195234007,0.375,-0.029459606452476916,37.0,-6.063488116846611,-0.3612630961062807,-2.3612838015545474,0.1409756988286972,0.3446808457374573,0.5143434405326843,0,2688.3
3,2005-01-03,2009-01-03,2009-07-03,-1.831665098886266,-3.2409734118841045,-3.0004045336028193,-0.2622586450346811,-0.7868820278386301,0.42959929090417404,0.34210526315789475,-0.20793619079110348,14.0,-8.033191029940552,-1.8295930064431951,-1.6413179069476238,0.5554043054580688,0.2295450121164322,0.21505066752433777,0,2643.3
4,2005-01-03,2009-07-03,2010-01-03,-1.689520210685377,-2.6068414009045178,-2.62525763606741,-0.18748855949953194,-0.49220577276395094,0.2913287272221082,0.4084507042253521,-0.17381235888347157,2.0,3.2813741651540775,-1.2113438887850496,-8.162202685737284,0.6062815189361572,0.20861630141735077,0.18510213494300842,0,2606.6
5,2005-01-03,2010-01-03,2010-07-03,-0.016412512370494212,-0.02495874088773779,-0.039023400467437186,-0.11911157118682272,-0.004648138546631375,0.2832070093879332,0.5,-0.0012933225849777186,28.0,-1.8304708206571683,1.9926801407846895,-0.7952028974151814,0.23962712287902832,0.3098314702510834,0.4505414068698883,0,2611.5
6,2005-01-03,2010-07-03,2011-01-03,0.099885620887131,0.12814048580734788,0.1630335645256244,-0.05429492293581454,0.00885189483817328,0.08862031140785723,0.48571428571428565,0.0024510395906882643,63.0,-1.9930587820044916,0.5422175130979547,2.719461628738434,0.569422721862793,0.20654325187206268,0.22403402626514435,0,2623.6
7,2005-01-03,2011-01-03,2011-07-03,0.05542455331082059,0.10408942284935976,0.16840460404778612,-0.087141518750745,0.0146750329781824,0.2647749435226377,0.4714285714285714,0.00405497611253125,41.0,1.0795451215909386,-0.9482537743177736,-0.2081786330620214,0.2812437415122986,0.2722868323326111,0.4464694857597351,0,2625.7
8,2005-01-03,2011-07-03,2012-01-03,-0.46719439296308407,-0.7380269883814766,-1.0677218668624926,-0.07791625160453694,-0.08319288572889605,0.1780691012889579,0.39436619718309857,-0.024174935290442567,39.0,-0.6268699478701815,-1.216391205231847,2.0394745200510402,0.4489295184612274,0.21532142162322998,0.3357490599155426,0,2636.8
9,2005-01-03,2012-01-03,2012-07-03,7.410824794374564,18.73303249872072,39.31128842325147,-0.04410749938973702,1.7339226340694691,0.23397161334114647,0.5571428571428572,0.32229850128553905,34.0,7.809478751315286,4.709828914733421,2.0961049635095956,0.27966204285621643,0.2617017924785614,0.45863619446754456,0,2631.6
10,2005-01-03,2012-07-03,2013-01-03,-1.481091423336962,-1.9755908832525992,-2.492237897770045,-0.12084771075988512,-0.3011812448637623,0.20335088028332443,0.4444444444444445,-0.09732226769600105,23.0,-1.5177060203391302,-2.5473663891460645,-0.4878418656204815,0.4667833149433136,0.26242008805274963,0.27079659700393677,0,2629.3
11,2005-01-03,2013-01-03,2013-07-03,3.307919558178155,7.301064951180402,8.921782895382998,-0.06614158708260325,0.590100881199233,0.17839033582589314,0.4782608695652174,0.13540811851016343,33.0,-0.36930086806589896,5.55919645864488,2.9482880797646405,0.426751971244812,0.22644925117492676,0.34679877758026123,0,2652.6
12,2005-01-03,2013-07-03,2014-01-03,-0.3076963753583495,-0.36517007873696383,-0.7663484048039875,-0.04587805364112464,-0.03515857330002248,0.11426385256669484,0.5,-0.010174038105939531,58.0,-1.781547277855813,0.7001564677208089,1.346061353848953,0.3484041392803192,0.3597186207771301,0.2918771803379059,0,2644.4
13,2005-01-03,2014-01-03,2014-07-03,-1.1586748394032418,-1.6301841475588863,-1.7288410908508351,-0.061228084955444496,-0.10585362935796239,0.09135749361452714,0.4927536231884059,-0.030170887160631432,58.0,0.22631180543705645,-4.205943571245004,-0.23216922020122346,0.4967055022716522,0.25488749146461487,0.2484070211648941,0,2634.6
